id,ticker,signal_type,session,entry_low,entry_high,tp_price,sl_price,tp_pct,sl_pct,score,wyckoff_phase,cmf_value,obv_direction,broker_crossing,vcp_grade,rs_interp,rationale,timestamp_wib,status,exit_price,exit_timestamp,pnl_pct,days_held,notes
BMP-AALI-20260810-POST,AALI,BUY,POST_MARKET,7200.0,7272.0,7998.0,6881.0,11.1,4.4,50,B — Indeterminate,0.1844,Rising ▲,—,NONE,OUTPERFORM ▲,CMF +0.184 (inflow kuat) · OBV naik ▲ · RS OUTPERFORM ▲ · Weekly 77/100,2026-08-10 10:34:17,WIN,7998.0,2026-08-20 09:23:26,11.08,8,TP hit
BMP-ANTM-20260810-POST,ANTM,BUY,POST_MARKET,3140.0,3171.0,3510.0,2992.0,11.8,4.7,47,D — Sign of Strength,-0.1968,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-10 10:34:18,LOSS,2992.0,2026-08-13 08:49:26,-4.71,3,SL hit
BMP-ULTJ-20260810-POST,ULTJ,BUY,POST_MARKET,1495.0,1510.0,1655.0,1431.0,10.7,4.3,45,D — Sign of Strength,-0.345,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100 · Vol 1.6x,2026-08-10 10:34:18,OPEN,,,,,
BMP-HRUM-20260811-SIG,HRUM,BUY,POST_OPEN,850.0,858.0,995.0,792.0,17.1,6.8,40,C — Spring ⭐,-0.1752,Falling ▼,—,NONE,IN LINE →,Wyckoff C — Spring ⭐,2026-08-11 02:38:58,OPEN,,,,,
BMP-MYOR-20260811-SIG,MYOR,BUY,POST_OPEN,1715.0,1732.0,1860.0,1657.0,8.5,3.4,40,C — Spring ⭐,-0.3431,Falling ▼,—,NONE,UNDERPERFORM ▼,RSI 37 (oversold) · Wyckoff C — Spring ⭐,2026-08-11 02:38:59,LOSS,1657.0,2026-08-19 03:52:02,-3.38,6,SL hit
BMP-AALI-20260811-MID,AALI,BUY,MIDDAY,7200.0,7272.0,7990.0,6884.0,11.0,4.4,64,B — Indeterminate,0.2322,Rising ▲,—,NONE,OUTPERFORM ▲,CMF +0.232 (inflow kuat) · OBV naik ▲ · RS OUTPERFORM ▲ · Weekly 100/100,2026-08-11 06:30:55,WIN,7990.0,2026-08-20 09:23:26,10.97,7,TP hit
BMP-ULTJ-20260811-MID,ULTJ,BUY,MIDDAY,1510.0,1525.0,1668.0,1447.0,10.5,4.2,56,D — Sign of Strength,-0.2672,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100,2026-08-11 06:30:55,OPEN,,,,,
BMP-HRUM-20260811-MID,HRUM,BUY,MIDDAY,840.0,848.0,985.0,782.0,17.3,6.9,37,C — Spring ⭐,-0.219,Falling ▼,—,NONE,IN LINE →,Wyckoff C — Spring ⭐,2026-08-11 06:30:56,OPEN,,,,,
BMP-AALI-20260811-POST,AALI,BUY,POST_MARKET,7200.0,7272.0,7990.0,6884.0,11.0,4.4,67,B — Indeterminate,0.2561,Rising ▲,—,NONE,OUTPERFORM ▲,CMF +0.256 (inflow kuat) · OBV naik ▲ · RS OUTPERFORM ▲ · Weekly 100/100 · Vol 2.1x,2026-08-11 10:08:45,WIN,7990.0,2026-08-20 09:23:27,10.97,7,TP hit
BMP-MDKA-20260811-POST,MDKA,BUY,POST_MARKET,2920.0,2949.0,3410.0,2724.0,16.8,6.7,52,D — Sign of Strength,-0.0738,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-11 10:08:45,OPEN,,,,,
BMP-ULTJ-20260811-POST,ULTJ,BUY,POST_MARKET,1495.0,1510.0,1652.0,1432.0,10.5,4.2,51,D — Sign of Strength,-0.2996,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100,2026-08-11 10:08:46,OPEN,,,,,
BMP-MDKA-20260812-POST,MDKA,BUY,POST_MARKET,2910.0,2939.0,3370.0,2726.0,15.8,6.3,60,D — Sign of Strength,-0.0162,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength,2026-08-12 10:18:11,OPEN,,,,,
BMP-ULTJ-20260812-POST,ULTJ,BUY,POST_MARKET,1515.0,1530.0,1670.0,1453.0,10.2,4.1,56,D — Sign of Strength,-0.2289,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 89/100,2026-08-12 10:18:11,OPEN,,,,,
BMP-ESSA-20260813-SIG,ESSA,BUY,POST_OPEN,660.0,667.0,775.0,614.0,17.4,7.0,54,B — Indeterminate,0.2652,Rising ▲,—,NONE,OUTPERFORM ▲,CMF +0.265 (inflow kuat) · OBV naik ▲ · RS OUTPERFORM ▲ · Weekly 77/100,2026-08-13 04:27:44,LOSS,614.0,2026-08-24 04:21:50,-6.97,7,SL hit
BMP-ESSA-20260813-MID,ESSA,BUY,MIDDAY,660.0,667.0,775.0,614.0,17.4,7.0,54,B — Indeterminate,0.2574,Rising ▲,—,NONE,OUTPERFORM ▲,CMF +0.257 (inflow kuat) · OBV naik ▲ · RS OUTPERFORM ▲ · Weekly 77/100,2026-08-13 07:00:45,LOSS,614.0,2026-08-24 04:21:50,-6.97,7,SL hit
BMP-ESSA-20260813-POST,ESSA,BUY,POST_MARKET,660.0,667.0,775.0,614.0,17.4,7.0,49,B — Indeterminate,0.2395,Rising ▲,—,NONE,OUTPERFORM ▲,CMF +0.240 (inflow kuat) · OBV naik ▲ · RS OUTPERFORM ▲ · Weekly 77/100 · Vol 1.6x,2026-08-13 10:19:53,LOSS,614.0,2026-08-24 04:21:50,-6.97,7,SL hit
BMP-SMGR-20260813-POST,SMGR,BUY,POST_MARKET,1510.0,1525.0,1710.0,1430.0,13.2,5.3,42,B — Indeterminate,0.1018,Rising ▲,—,NONE,IN LINE →,CMF +0.102 (inflow) · OBV naik ▲,2026-08-13 10:19:54,WIN,1710.0,2026-09-01 07:34:48,13.25,13,TP hit
BMP-MDKA-20260814-POST,MDKA,BUY,POST_MARKET,2900.0,2929.0,3390.0,2704.0,16.9,6.8,61,D — Sign of Strength,0.037,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 69/100,2026-08-14 10:14:29,OPEN,,,,,
BMP-SMGR-20260814-POST,SMGR,BUY,POST_MARKET,1580.0,1596.0,1802.0,1491.0,14.1,5.6,50,B — Indeterminate,0.1417,Rising ▲,—,NONE,IN LINE →,CMF +0.142 (inflow) · OBV naik ▲,2026-08-14 10:14:29,LOSS,1491.0,2026-08-26 09:12:32,-5.63,8,SL hit
BMP-MDKA-20260817-PRE,MDKA,BUY,PRE_MARKET,2900.0,2929.0,3390.0,2704.0,16.9,6.8,60,D — Sign of Strength,0.037,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 69/100,2026-08-17 02:07:38,OPEN,,,,,
BMP-SMGR-20260817-PRE,SMGR,BUY,PRE_MARKET,1580.0,1596.0,1802.0,1491.0,14.1,5.6,50,B — Indeterminate,0.1417,Rising ▲,—,NONE,IN LINE →,CMF +0.142 (inflow) · OBV naik ▲,2026-08-17 02:07:39,LOSS,1491.0,2026-08-26 09:12:32,-5.63,7,SL hit
BMP-SMGR-20260817-SIG,SMGR,BUY,POST_OPEN,1580.0,1596.0,1802.0,1491.0,14.1,5.6,50,B — Indeterminate,0.1417,Rising ▲,—,NONE,IN LINE →,CMF +0.142 (inflow) · OBV naik ▲,2026-08-17 03:29:12,LOSS,1491.0,2026-08-26 09:12:32,-5.63,7,SL hit
BMP-MDKA-20260817-MID,MDKA,BUY,MIDDAY,2900.0,2929.0,3390.0,2704.0,16.9,6.8,61,D — Sign of Strength,0.037,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 69/100,2026-08-17 06:03:11,OPEN,,,,,
BMP-SMGR-20260817-MID,SMGR,BUY,MIDDAY,1580.0,1596.0,1802.0,1491.0,14.1,5.6,50,B — Indeterminate,0.1417,Rising ▲,—,NONE,IN LINE →,CMF +0.142 (inflow) · OBV naik ▲,2026-08-17 06:03:12,LOSS,1491.0,2026-08-26 09:12:33,-5.63,7,SL hit
BMP-MDKA-20260817-POST,MDKA,BUY,POST_MARKET,2900.0,2929.0,3390.0,2704.0,16.9,6.8,60,D — Sign of Strength,0.037,Rising ▲,—,NONE,IN LINE →,OBV naik ▲ · Wyckoff D — Sign of Strength · Weekly 69/100,2026-08-17 09:54:16,OPEN,,,,,
BMP-SMGR-20260817-POST,SMGR,BUY,POST_MARKET,1580.0,1596.0,1802.0,1491.0,14.1,5.6,50,B — Indeterminate,0.1417,Rising ▲,—,NONE,IN LINE →,CMF +0.142 (inflow) · OBV naik ▲,2026-08-17 09:54:16,LOSS,1491.0,2026-08-26 09:12:33,-5.63,7,SL hit
